StoreType,Model,Service Level,Lead Time Days,Safety Stock Units
a,Naive,0.9,3,4793.6400714251085
a,Naive,0.9,7,7322.406160559694
a,Naive,0.9,14,10355.446101467822
a,Naive,0.95,3,6150.965614270128
a,Naive,0.95,7,9395.755174821137
a,Naive,0.95,14,13287.604396969242
a,Naive,0.99,3,8697.353202913264
a,Naive,0.99,7,13285.426466038885
a,Naive,0.99,14,18788.43029018265
a,SARIMAX,0.9,3,4956.606192472943
a,SARIMAX,0.9,7,7571.341022364706
a,SARIMAX,0.9,14,10707.493159179941
a,SARIMAX,0.95,3,6360.075808594377
a,SARIMAX,0.95,7,9715.17627284707
a,SARIMAX,0.95,14,13739.33404590562
a,SARIMAX,0.99,3,8993.031204127976
a,SARIMAX,0.99,7,13737.082073338772
a,SARIMAX,0.99,14,19427.167775548005
a,XGBoost,0.9,3,1961.9027687853334
a,XGBoost,0.9,7,2996.8559813674124
a,XGBoost,0.9,14,4238.194373328725
a,XGBoost,0.95,3,2517.4181393540357
a,XGBoost,0.95,7,3845.419726481586
a,XGBoost,0.95,14,5438.244730207296
a,XGBoost,0.99,3,3559.583338685402
a,XGBoost,0.99,7,5437.3533640098285
a,XGBoost,0.99,14,7689.578870797672
a,Ensemble,0.9,3,1937.0499684504
a,Ensemble,0.9,7,2958.8927017785936
a,Ensemble,0.9,14,4184.506188462056
a,Ensemble,0.95,3,2485.5282356481343
a,Ensemble,0.95,7,3796.707093935871
a,Ensemble,0.95,14,5369.354664602249
a,Ensemble,0.99,3,3514.491596424049
a,Ensemble,0.99,7,5368.474589966466
a,Ensemble,0.99,14,7592.169574385916
b,Naive,0.9,3,7085.720364011602
b,Naive,0.9,7,10823.61664045774
b,Naive,0.9,14,15306.905446862449
b,Naive,0.95,3,9092.051481122531
b,Naive,0.95,7,13888.33804489312
b,Naive,0.95,14,19641.076021910085
b,Naive,0.99,3,12855.994981818241
b,Naive,0.99,7,19637.856712718174
b,Naive,0.99,14,27772.123299065566
b,SARIMAX,0.9,3,5241.677297622137
b,SARIMAX,0.9,7,8006.794328295006
b,SARIMAX,0.9,14,11323.317130206773
b,SARIMAX,0.95,3,6725.865175185972
b,SARIMAX,0.95,7,10273.928759785713
b,SARIMAX,0.95,14,14529.529390943946
b,SARIMAX,0.99,3,9510.250697557793
b,SARIMAX,0.99,7,14527.147899855057
b,SARIMAX,0.99,14,20544.489582574846
b,XGBoost,0.9,3,2258.808090406471
b,XGBoost,0.9,7,3450.386351555436
b,XGBoost,0.9,14,4879.583173796719
b,XGBoost,0.95,3,2898.3925965044027
b,XGBoost,0.95,7,4427.367822393675
b,XGBoost,0.95,14,6261.243620043371
b,XGBoost,0.99,3,4098.274273233581
b,XGBoost,0.99,7,6260.217358594339
b,XGBoost,0.99,14,8853.284291927588
b,Ensemble,0.9,3,2216.179825482889
b,Ensemble,0.9,7,3385.270601303121
b,Ensemble,0.9,14,4787.495596665796
b,Ensemble,0.95,3,2843.694081840368
b,Ensemble,0.95,7,4343.814461110479
b,Ensemble,0.95,14,6143.081323334816
b,Ensemble,0.99,3,4020.931571039937
b,Ensemble,0.99,7,6142.0744295094055
b,Ensemble,0.99,14,8686.204959317192
c,Naive,0.9,3,3788.3104257011364
c,Naive,0.9,7,5786.7397605886135
c,Naive,0.9,14,8183.685851348054
c,Naive,0.95,3,4860.9755462389785
c,Naive,0.95,7,7425.262797323144
c,Naive,0.95,14,10500.907352158776
c,Naive,0.99,3,6873.330772371953
c,Naive,0.99,7,10499.186180287921
c,Naive,0.99,14,14848.091490043349
c,SARIMAX,0.9,3,4492.599362556871
c,SARIMAX,0.9,7,6862.5588820090725
c,SARIMAX,0.9,14,9705.123843521174
c,SARIMAX,0.95,3,5764.6848294899
c,SARIMAX,0.95,7,8805.701529567023
c,SARIMAX,0.95,14,12453.142529323191
c,SARIMAX,0.99,3,8151.159217868393
c,SARIMAX,0.99,7,12451.101372506319
c,SARIMAX,0.99,14,17608.516427480692
c,XGBoost,0.9,3,1857.7731386107778
c,XGBoost,0.9,7,2837.795343913193
c,XGBoost,0.9,14,4013.2486626012583
c,XGBoost,0.95,3,2383.8040663141414
c,XGBoost,0.95,7,3641.3208586093615
c,XGBoost,0.95,14,5149.605343197402
c,XGBoost,0.99,3,3370.655476137807
c,XGBoost,0.99,7,5148.761287006307
c,XGBoost,0.99,14,7281.448041505871
c,Ensemble,0.9,3,1817.7566967288196
c,Ensemble,0.9,7,2776.669219257568
c,Ensemble,0.9,14,3926.803268097965
c,Ensemble,0.95,3,2332.4569158493823
c,Ensemble,0.95,7,3562.886790701013
c,Ensemble,0.95,14,5038.682820609323
c,Ensemble,0.99,3,3298.0515418028344
c,Ensemble,0.99,7,5037.856945392435
c,Ensemble,0.99,14,7124.605617469474
d,Naive,0.9,3,4009.228681938537
d,Naive,0.9,7,6124.197971123794
d,Naive,0.9,14,8660.92382942106
d,Naive,0.95,3,5144.447099679324
d,Naive,0.95,7,7858.272747658846
d,Naive,0.95,14,11113.275896566025
d,Naive,0.99,3,7274.15437924262
d,Naive,0.99,7,11111.454353224606
d,Naive,0.99,14,15713.969444019804
d,SARIMAX,0.9,3,4628.173802163263
d,SARIMAX,0.9,7,7069.652259274909
d,SARIMAX,0.9,14,9997.998106328168
d,SARIMAX,0.95,3,5938.64735144974
d,SARIMAX,0.95,7,9071.433671222485
d,SARIMAX,0.95,14,12828.944528010794
d,SARIMAX,0.99,3,8397.13905135082
d,SARIMAX,0.99,7,12826.841774628268
d,SARIMAX,0.99,14,18139.893600093073
d,XGBoost,0.9,3,1839.7473912110981
d,XGBoost,0.9,7,2810.2605599407975
d,XGBoost,0.9,14,3974.308597670484
d,XGBoost,0.95,3,2360.6743046351453
d,XGBoost,0.95,7,3605.9895640425993
d,XGBoost,0.95,14,5099.639347244888
d,XGBoost,0.99,3,3337.9504149430686
d,XGBoost,0.99,7,5098.803480828623
d,XGBoost,0.99,14,7210.797034462984
d,Ensemble,0.9,3,1770.741488657225
d,Ensemble,0.9,7,2704.852302656841
d,Ensemble,0.9,14,3825.2388106333997
d,Ensemble,0.95,3,2272.129289267656
d,Ensemble,0.95,7,3470.7348189317495
d,Ensemble,0.95,14,4908.360252333809
d,Ensemble,0.99,3,3212.749378016151
d,Ensemble,0.99,7,4907.555737893769
d,Ensemble,0.99,14,6940.33188263127
